country,date,year_week,Daily hospital occupancy,under_15_cases,15-24_cases,25-49_cases,50-64_cases,65-79_cases,over_80_cases,next_week_increase_decrease
Belgium,3/15/2020,2020-W11,263,25,44,173,97,38,10,1
Belgium,3/16/2020,2020-W12,370,31,74,568,301,193,169,1
Belgium,3/17/2020,2020-W12,493,31,74,568,301,193,169,1
Belgium,3/18/2020,2020-W12,646,31,74,568,301,193,169,1
Belgium,3/19/2020,2020-W12,840,31,74,568,301,193,169,1
Belgium,3/20/2020,2020-W12,1108,31,74,568,301,193,169,1
Belgium,3/21/2020,2020-W12,1384,31,74,568,301,193,169,1
Belgium,3/22/2020,2020-W12,1661,31,74,568,301,193,169,1
Belgium,3/23/2020,2020-W13,1883,35,80,1244,985,756,589,1
Belgium,3/24/2020,2020-W13,2204,35,80,1244,985,756,589,1
Belgium,3/25/2020,2020-W13,2721,35,80,1244,985,756,589,1
Belgium,3/26/2020,2020-W13,3111,35,80,1244,985,756,589,1
Belgium,3/27/2020,2020-W13,3649,35,80,1244,985,756,589,1
Belgium,3/28/2020,2020-W13,4088,35,80,1244,985,756,589,1
Belgium,3/29/2020,2020-W13,4536,35,80,1244,985,756,589,1
Belgium,3/30/2020,2020-W14,4897,62,238,2490,2206,1682,1445,1
Belgium,3/31/2020,2020-W14,4988,62,238,2490,2206,1682,1445,1
Belgium,4/1/2020,2020-W14,5219,62,238,2490,2206,1682,1445,1
Belgium,4/2/2020,2020-W14,5398,62,238,2490,2206,1682,1445,1
Belgium,4/3/2020,2020-W14,5562,62,238,2490,2206,1682,1445,1
Belgium,4/4/2020,2020-W14,5531,62,238,2490,2206,1682,1445,1
Belgium,4/5/2020,2020-W14,5620,62,238,2490,2206,1682,1445,0
Belgium,4/6/2020,2020-W15,5759,52,431,2742,1827,1478,4250,0
Belgium,4/7/2020,2020-W15,5710,52,431,2742,1827,1478,4250,0
Belgium,4/8/2020,2020-W15,5620,52,431,2742,1827,1478,4250,0
Belgium,4/9/2020,2020-W15,5640,52,431,2742,1827,1478,4250,0
Belgium,4/10/2020,2020-W15,5663,52,431,2742,1827,1478,4250,0
Belgium,4/11/2020,2020-W15,5538,52,431,2742,1827,1478,4250,0
Belgium,4/12/2020,2020-W15,5542,52,431,2742,1827,1478,4250,0
Belgium,4/13/2020,2020-W16,5554,35,302,1814,1108,1039,3125,0
Belgium,4/14/2020,2020-W16,5532,35,302,1814,1108,1039,3125,0
Belgium,4/15/2020,2020-W16,5331,35,302,1814,1108,1039,3125,0
Belgium,4/16/2020,2020-W16,5181,35,302,1814,1108,1039,3125,0
Belgium,4/17/2020,2020-W16,5088,35,302,1814,1108,1039,3125,0
Belgium,4/18/2020,2020-W16,4889,35,302,1814,1108,1039,3125,0
Belgium,4/19/2020,2020-W16,4940,35,302,1814,1108,1039,3125,0
Belgium,4/20/2020,2020-W17,4996,40,239,1408,870,734,2264,0
Belgium,4/21/2020,2020-W17,4765,40,239,1408,870,734,2264,0
Belgium,4/22/2020,2020-W17,4527,40,239,1408,870,734,2264,0
Belgium,4/23/2020,2020-W17,4353,40,239,1408,870,734,2264,0
Belgium,4/24/2020,2020-W17,4195,40,239,1408,870,734,2264,0
Belgium,4/25/2020,2020-W17,3957,40,239,1408,870,734,2264,0
Belgium,4/26/2020,2020-W17,3968,40,239,1408,870,734,2264,0
Belgium,4/27/2020,2020-W18,3976,28,165,892,533,397,961,0
Belgium,4/28/2020,2020-W18,3733,28,165,892,533,397,961,0
Belgium,4/29/2020,2020-W18,3609,28,165,892,533,397,961,0
Belgium,4/30/2020,2020-W18,3386,28,165,892,533,397,961,0
Belgium,5/1/2020,2020-W18,3109,28,165,892,533,397,961,0
Belgium,5/2/2020,2020-W18,3080,28,165,892,533,397,961,0
Belgium,5/3/2020,2020-W18,3044,28,165,892,533,397,961,0
Belgium,5/4/2020,2020-W19,3080,14,34,180,120,81,178,0
Belgium,5/5/2020,2020-W19,2868,14,34,180,120,81,178,0
Belgium,5/6/2020,2020-W19,2699,14,34,180,120,81,178,0
Belgium,5/7/2020,2020-W19,2555,14,34,180,120,81,178,0
Belgium,5/8/2020,2020-W19,2381,14,34,180,120,81,178,0
Belgium,5/9/2020,2020-W19,2222,14,34,180,120,81,178,0
Belgium,5/10/2020,2020-W19,2222,14,34,180,120,81,178,0
Belgium,5/11/2020,2020-W20,2230,65,173,695,427,234,425,0
Belgium,5/12/2020,2020-W20,2085,65,173,695,427,234,425,0
Belgium,5/13/2020,2020-W20,1966,65,173,695,427,234,425,0
Belgium,5/14/2020,2020-W20,1862,65,173,695,427,234,425,0
Belgium,5/15/2020,2020-W20,1750,65,173,695,427,234,425,0
Belgium,5/16/2020,2020-W20,1625,65,173,695,427,234,425,0
Belgium,5/17/2020,2020-W20,1614,65,173,695,427,234,425,0
Belgium,5/18/2020,2020-W21,1630,72,127,527,273,163,314,0
Belgium,5/19/2020,2020-W21,1527,72,127,527,273,163,314,0
Belgium,5/20/2020,2020-W21,1448,72,127,527,273,163,314,0
Belgium,5/21/2020,2020-W21,1388,72,127,527,273,163,314,0
Belgium,5/22/2020,2020-W21,1360,72,127,527,273,163,314,0
Belgium,5/23/2020,2020-W21,1296,72,127,527,273,163,314,0
Belgium,5/24/2020,2020-W21,1306,72,127,527,273,163,314,0
Belgium,5/25/2020,2020-W22,1304,44,106,384,245,156,207,0
Belgium,5/26/2020,2020-W22,1150,44,106,384,245,156,207,0
Belgium,5/27/2020,2020-W22,1050,44,106,384,245,156,207,0
Belgium,5/28/2020,2020-W22,939,44,106,384,245,156,207,0
Belgium,5/29/2020,2020-W22,892,44,106,384,245,156,207,0
Belgium,5/30/2020,2020-W22,823,44,106,384,245,156,207,0
Belgium,5/31/2020,2020-W22,818,44,106,384,245,156,207,0
Belgium,6/1/2020,2020-W23,821,48,95,306,153,114,124,0
Belgium,6/2/2020,2020-W23,821,48,95,306,153,114,124,0
