country,date,year_week,Daily hospital occupancy,under_15_cases,15-24_cases,25-49_cases,50-64_cases,65-79_cases,over_80_cases,next_week_hospitalizations
Belgium,3/15/2020,2020-W11,263,25,44,173,97,38,10,1661
Belgium,3/16/2020,2020-W12,370,31,74,568,301,193,169,1883
Belgium,3/17/2020,2020-W12,493,31,74,568,301,193,169,2204
Belgium,3/18/2020,2020-W12,646,31,74,568,301,193,169,2721
Belgium,3/19/2020,2020-W12,840,31,74,568,301,193,169,3111
Belgium,3/20/2020,2020-W12,1108,31,74,568,301,193,169,3649
Belgium,3/21/2020,2020-W12,1384,31,74,568,301,193,169,4088
Belgium,3/22/2020,2020-W12,1661,31,74,568,301,193,169,4536
Belgium,3/23/2020,2020-W13,1883,35,80,1244,985,756,589,4897
Belgium,3/24/2020,2020-W13,2204,35,80,1244,985,756,589,4988
Belgium,3/25/2020,2020-W13,2721,35,80,1244,985,756,589,5219
Belgium,3/26/2020,2020-W13,3111,35,80,1244,985,756,589,5398
Belgium,3/27/2020,2020-W13,3649,35,80,1244,985,756,589,5562
Belgium,3/28/2020,2020-W13,4088,35,80,1244,985,756,589,5531
Belgium,3/29/2020,2020-W13,4536,35,80,1244,985,756,589,5620
Belgium,3/30/2020,2020-W14,4897,62,238,2490,2206,1682,1445,5759
Belgium,3/31/2020,2020-W14,4988,62,238,2490,2206,1682,1445,5710
Belgium,4/1/2020,2020-W14,5219,62,238,2490,2206,1682,1445,5620
Belgium,4/2/2020,2020-W14,5398,62,238,2490,2206,1682,1445,5640
Belgium,4/3/2020,2020-W14,5562,62,238,2490,2206,1682,1445,5663
Belgium,4/4/2020,2020-W14,5531,62,238,2490,2206,1682,1445,5538
Belgium,4/5/2020,2020-W14,5620,62,238,2490,2206,1682,1445,5542
Belgium,4/6/2020,2020-W15,5759,52,431,2742,1827,1478,4250,5554
Belgium,4/7/2020,2020-W15,5710,52,431,2742,1827,1478,4250,5532
Belgium,4/8/2020,2020-W15,5620,52,431,2742,1827,1478,4250,5331
Belgium,4/9/2020,2020-W15,5640,52,431,2742,1827,1478,4250,5181
Belgium,4/10/2020,2020-W15,5663,52,431,2742,1827,1478,4250,5088
Belgium,4/11/2020,2020-W15,5538,52,431,2742,1827,1478,4250,4889
Belgium,4/12/2020,2020-W15,5542,52,431,2742,1827,1478,4250,4940
Belgium,4/13/2020,2020-W16,5554,35,302,1814,1108,1039,3125,4996
Belgium,4/14/2020,2020-W16,5532,35,302,1814,1108,1039,3125,4765
Belgium,4/15/2020,2020-W16,5331,35,302,1814,1108,1039,3125,4527
Belgium,4/16/2020,2020-W16,5181,35,302,1814,1108,1039,3125,4353
Belgium,4/17/2020,2020-W16,5088,35,302,1814,1108,1039,3125,4195
Belgium,4/18/2020,2020-W16,4889,35,302,1814,1108,1039,3125,3957
Belgium,4/19/2020,2020-W16,4940,35,302,1814,1108,1039,3125,3968
Belgium,4/20/2020,2020-W17,4996,40,239,1408,870,734,2264,3976
Belgium,4/21/2020,2020-W17,4765,40,239,1408,870,734,2264,3733
Belgium,4/22/2020,2020-W17,4527,40,239,1408,870,734,2264,3609
Belgium,4/23/2020,2020-W17,4353,40,239,1408,870,734,2264,3386
Belgium,4/24/2020,2020-W17,4195,40,239,1408,870,734,2264,3109
Belgium,4/25/2020,2020-W17,3957,40,239,1408,870,734,2264,3080
Belgium,4/26/2020,2020-W17,3968,40,239,1408,870,734,2264,3044
Belgium,4/27/2020,2020-W18,3976,28,165,892,533,397,961,3080
Belgium,4/28/2020,2020-W18,3733,28,165,892,533,397,961,2868
Belgium,4/29/2020,2020-W18,3609,28,165,892,533,397,961,2699
Belgium,4/30/2020,2020-W18,3386,28,165,892,533,397,961,2555
Belgium,5/1/2020,2020-W18,3109,28,165,892,533,397,961,2381
Belgium,5/2/2020,2020-W18,3080,28,165,892,533,397,961,2222
Belgium,5/3/2020,2020-W18,3044,28,165,892,533,397,961,2222
Belgium,5/4/2020,2020-W19,3080,14,34,180,120,81,178,2230
Belgium,5/5/2020,2020-W19,2868,14,34,180,120,81,178,2085
Belgium,5/6/2020,2020-W19,2699,14,34,180,120,81,178,1966
Belgium,5/7/2020,2020-W19,2555,14,34,180,120,81,178,1862
Belgium,5/8/2020,2020-W19,2381,14,34,180,120,81,178,1750
Belgium,5/9/2020,2020-W19,2222,14,34,180,120,81,178,1625
Belgium,5/10/2020,2020-W19,2222,14,34,180,120,81,178,1614
Belgium,5/11/2020,2020-W20,2230,65,173,695,427,234,425,1630
Belgium,5/12/2020,2020-W20,2085,65,173,695,427,234,425,1527
Belgium,5/13/2020,2020-W20,1966,65,173,695,427,234,425,1448
Belgium,5/14/2020,2020-W20,1862,65,173,695,427,234,425,1388
Belgium,5/15/2020,2020-W20,1750,65,173,695,427,234,425,1360
Belgium,5/16/2020,2020-W20,1625,65,173,695,427,234,425,1296
Belgium,5/17/2020,2020-W20,1614,65,173,695,427,234,425,1306
Belgium,5/18/2020,2020-W21,1630,72,127,527,273,163,314,1304
Belgium,5/19/2020,2020-W21,1527,72,127,527,273,163,314,1150
Belgium,5/20/2020,2020-W21,1448,72,127,527,273,163,314,1050
Belgium,5/21/2020,2020-W21,1388,72,127,527,273,163,314,939
Belgium,5/22/2020,2020-W21,1360,72,127,527,273,163,314,892
Belgium,5/23/2020,2020-W21,1296,72,127,527,273,163,314,823
Belgium,5/24/2020,2020-W21,1306,72,127,527,273,163,314,818
Belgium,5/25/2020,2020-W22,1304,44,106,384,245,156,207,821
Belgium,5/26/2020,2020-W22,1150,44,106,384,245,156,207,821
Belgium,5/27/2020,2020-W22,1050,44,106,384,245,156,207,739
Belgium,5/28/2020,2020-W22,939,44,106,384,245,156,207,702
Belgium,5/29/2020,2020-W22,892,44,106,384,245,156,207,647
Belgium,5/30/2020,2020-W22,823,44,106,384,245,156,207,573
Belgium,5/31/2020,2020-W22,818,44,106,384,245,156,207,576
Belgium,6/1/2020,2020-W23,821,48,95,306,153,114,124,575
Belgium,6/2/2020,2020-W23,821,48,95,306,153,114,124,527
Belgium,6/3/2020,2020-W23,739,48,95,306,153,114,124,484
Belgium,6/4/2020,2020-W23,702,48,95,306,153,114,124,479
Belgium,6/5/2020,2020-W23,647,48,95,306,153,114,124,425
Belgium,6/6/2020,2020-W23,573,48,95,306,153,114,124,395
Belgium,6/7/2020,2020-W23,576,48,95,306,153,114,124,400
Belgium,6/8/2020,2020-W24,575,52,68,242,129,79,96,393
Belgium,6/9/2020,2020-W24,527,52,68,242,129,79,96,371
Belgium,6/10/2020,2020-W24,484,52,68,242,129,79,96,344
Belgium,6/11/2020,2020-W24,479,52,68,242,129,79,96,340
Belgium,6/12/2020,2020-W24,425,52,68,242,129,79,96,308
Belgium,6/13/2020,2020-W24,395,52,68,242,129,79,96,292
Belgium,6/14/2020,2020-W24,400,52,68,242,129,79,96,295
Belgium,6/15/2020,2020-W25,393,71,72,246,114,76,84,293
Belgium,6/16/2020,2020-W25,371,71,72,246,114,76,84,281
Belgium,6/17/2020,2020-W25,344,71,72,246,114,76,84,268
Belgium,6/18/2020,2020-W25,340,71,72,246,114,76,84,256
Belgium,6/19/2020,2020-W25,308,71,72,246,114,76,84,247
Belgium,6/20/2020,2020-W25,292,71,72,246,114,76,84,237
Belgium,6/21/2020,2020-W25,295,71,72,246,114,76,84,237
Belgium,6/22/2020,2020-W26,293,75,68,237,106,57,58,244
Belgium,6/23/2020,2020-W26,281,75,68,237,106,57,58,222
Belgium,6/24/2020,2020-W26,268,75,68,237,106,57,58,203
Belgium,6/25/2020,2020-W26,256,75,68,237,106,57,58,187
Belgium,6/26/2020,2020-W26,247,75,68,237,106,57,58,168
Belgium,6/27/2020,2020-W26,237,75,68,237,106,57,58,170
Belgium,6/28/2020,2020-W26,237,75,68,237,106,57,58,170
Belgium,6/29/2020,2020-W27,244,69,89,254,113,53,52,169
Belgium,6/30/2020,2020-W27,222,69,89,254,113,53,52,178
Belgium,7/1/2020,2020-W27,203,69,89,254,113,53,52,165
Belgium,7/2/2020,2020-W27,187,69,89,254,113,53,52,160
Belgium,7/3/2020,2020-W27,168,69,89,254,113,53,52,143
Belgium,7/4/2020,2020-W27,170,69,89,254,113,53,52,132
Belgium,7/5/2020,2020-W27,170,69,89,254,113,53,52,130
Belgium,7/6/2020,2020-W28,169,62,112,294,128,61,46,138
Belgium,7/7/2020,2020-W28,178,62,112,294,128,61,46,147
Belgium,7/8/2020,2020-W28,165,62,112,294,128,61,46,150
Belgium,7/9/2020,2020-W28,160,62,112,294,128,61,46,147
Belgium,7/10/2020,2020-W28,143,62,112,294,128,61,46,145
Belgium,7/11/2020,2020-W28,132,62,112,294,128,61,46,161
Belgium,7/12/2020,2020-W28,130,62,112,294,128,61,46,168
Belgium,7/13/2020,2020-W29,138,132,240,597,227,110,70,181
Belgium,7/14/2020,2020-W29,147,132,240,597,227,110,70,172
Belgium,7/15/2020,2020-W29,150,132,240,597,227,110,70,191
Belgium,7/16/2020,2020-W29,147,132,240,597,227,110,70,203
Belgium,7/17/2020,2020-W29,145,132,240,597,227,110,70,218
Belgium,7/18/2020,2020-W29,161,132,240,597,227,110,70,210
Belgium,7/19/2020,2020-W29,168,132,240,597,227,110,70,211
Belgium,7/20/2020,2020-W30,181,262,473,1124,385,149,91,222
Belgium,7/21/2020,2020-W30,172,262,473,1124,385,149,91,232
Belgium,7/22/2020,2020-W30,191,262,473,1124,385,149,91,263
Belgium,7/23/2020,2020-W30,203,262,473,1124,385,149,91,267
Belgium,7/24/2020,2020-W30,218,262,473,1124,385,149,91,253
Belgium,7/25/2020,2020-W30,210,262,473,1124,385,149,91,259
Belgium,7/26/2020,2020-W30,211,262,473,1124,385,149,91,271
Belgium,7/27/2020,2020-W31,222,382,678,1745,604,210,125,290
Belgium,7/28/2020,2020-W31,232,382,678,1745,604,210,125,265
Belgium,7/29/2020,2020-W31,263,382,678,1745,604,210,125,293
Belgium,7/30/2020,2020-W31,267,382,678,1745,604,210,125,278
Belgium,7/31/2020,2020-W31,253,382,678,1745,604,210,125,285
Belgium,8/1/2020,2020-W31,259,382,678,1745,604,210,125,281
Belgium,8/2/2020,2020-W31,271,382,678,1745,604,210,125,285
Belgium,8/3/2020,2020-W32,290,465,868,1947,695,229,123,312
Belgium,8/4/2020,2020-W32,265,465,868,1947,695,229,123,307
Belgium,8/5/2020,2020-W32,293,465,868,1947,695,229,123,301
Belgium,8/6/2020,2020-W32,278,465,868,1947,695,229,123,309
Belgium,8/7/2020,2020-W32,285,465,868,1947,695,229,123,312
Belgium,8/8/2020,2020-W32,281,465,868,1947,695,229,123,309
Belgium,8/9/2020,2020-W32,285,465,868,1947,695,229,123,337
Belgium,8/10/2020,2020-W33,312,430,647,1718,563,198,173,341
Belgium,8/11/2020,2020-W33,307,430,647,1718,563,198,173,335
Belgium,8/12/2020,2020-W33,301,430,647,1718,563,198,173,334
Belgium,8/13/2020,2020-W33,309,430,647,1718,563,198,173,303
Belgium,8/14/2020,2020-W33,312,430,647,1718,563,198,173,314
Belgium,8/15/2020,2020-W33,309,430,647,1718,563,198,173,310
Belgium,8/16/2020,2020-W33,337,430,647,1718,563,198,173,312
Belgium,8/17/2020,2020-W34,341,377,633,1639,538,156,96,320
Belgium,8/18/2020,2020-W34,335,377,633,1639,538,156,96,282
Belgium,8/19/2020,2020-W34,334,377,633,1639,538,156,96,260
Belgium,8/20/2020,2020-W34,303,377,633,1639,538,156,96,257
Belgium,8/21/2020,2020-W34,314,377,633,1639,538,156,96,252
Belgium,8/22/2020,2020-W34,310,377,633,1639,538,156,96,230
Belgium,8/23/2020,2020-W34,312,377,633,1639,538,156,96,233
Belgium,8/24/2020,2020-W35,320,377,582,1484,464,144,65,243
Belgium,8/25/2020,2020-W35,282,377,582,1484,464,144,65,226
Belgium,8/26/2020,2020-W35,260,377,582,1484,464,144,65,221
Belgium,8/27/2020,2020-W35,257,377,582,1484,464,144,65,209
Belgium,8/28/2020,2020-W35,252,377,582,1484,464,144,65,215
Belgium,8/29/2020,2020-W35,230,377,582,1484,464,144,65,215
Belgium,8/30/2020,2020-W35,233,377,582,1484,464,144,65,223
Belgium,8/31/2020,2020-W36,243,418,759,1670,557,160,82,235
Belgium,9/1/2020,2020-W36,226,418,759,1670,557,160,82,260
Belgium,9/2/2020,2020-W36,221,418,759,1670,557,160,82,250
Belgium,9/3/2020,2020-W36,209,418,759,1670,557,160,82,249
Belgium,9/4/2020,2020-W36,215,418,759,1670,557,160,82,254
Belgium,9/5/2020,2020-W36,215,418,759,1670,557,160,82,260
Belgium,9/6/2020,2020-W36,223,418,759,1670,557,160,82,293
Belgium,10/5/2020,2020-W41,937,2826,8868,16160,6826,2532,1264,1473
Belgium,10/6/2020,2020-W41,952,2826,8868,16160,6826,2532,1264,1622
Belgium,10/7/2020,2020-W41,1050,2826,8868,16160,6826,2532,1264,1778
Belgium,10/8/2020,2020-W41,1110,2826,8868,16160,6826,2532,1264,1951
Belgium,10/9/2020,2020-W41,1191,2826,8868,16160,6826,2532,1264,2099
Belgium,10/10/2020,2020-W41,1260,2826,8868,16160,6826,2532,1264,2267
Belgium,10/11/2020,2020-W41,1334,2826,8868,16160,6826,2532,1264,2497
Belgium,10/12/2020,2020-W42,1473,5653,14467,30006,13451,5278,3012,2773
Belgium,10/13/2020,2020-W42,1622,5653,14467,30006,13451,5278,3012,2978
Belgium,10/14/2020,2020-W42,1778,5653,14467,30006,13451,5278,3012,3275
Belgium,10/15/2020,2020-W42,1951,5653,14467,30006,13451,5278,3012,3649
Belgium,10/16/2020,2020-W42,2099,5653,14467,30006,13451,5278,3012,4056
Belgium,10/17/2020,2020-W42,2267,5653,14467,30006,13451,5278,3012,4408
Belgium,10/18/2020,2020-W42,2497,5653,14467,30006,13451,5278,3012,4825
Belgium,10/19/2020,2020-W43,2773,6507,16355,45832,21356,8869,5999,5268
Belgium,10/20/2020,2020-W43,2978,6507,16355,45832,21356,8869,5999,5548
Belgium,10/21/2020,2020-W43,3275,6507,16355,45832,21356,8869,5999,5924
Belgium,10/22/2020,2020-W43,3649,6507,16355,45832,21356,8869,5999,6187
Belgium,10/23/2020,2020-W43,4056,6507,16355,45832,21356,8869,5999,6439
Belgium,10/24/2020,2020-W43,4408,6507,16355,45832,21356,8869,5999,6502
Belgium,10/25/2020,2020-W43,4825,6507,16355,45832,21356,8869,5999,6824
Belgium,10/26/2020,2020-W44,5268,3997,12166,43026,22109,10253,7632,7233
Belgium,10/27/2020,2020-W44,5548,3997,12166,43026,22109,10253,7632,7461
Belgium,10/28/2020,2020-W44,5924,3997,12166,43026,22109,10253,7632,7411
Belgium,10/29/2020,2020-W44,6187,3997,12166,43026,22109,10253,7632,7290
Belgium,10/30/2020,2020-W44,6439,3997,12166,43026,22109,10253,7632,7224
Belgium,10/31/2020,2020-W44,6502,3997,12166,43026,22109,10253,7632,6895
Belgium,11/1/2020,2020-W44,6824,3997,12166,43026,22109,10253,7632,6955
Belgium,11/2/2020,2020-W45,7233,1569,5722,22752,12282,6112,5310,7221
Belgium,11/3/2020,2020-W45,7461,1569,5722,22752,12282,6112,5310,7058
